product_id	time_id	customer_id	unit_sales
1150	975	9253	2.0000
1512	975	9253	2.0000
1157	975	9253	1.0000
1080	975	9253	2.0000
1383	975	2574	1.0000
813	975	2574	1.0000
137	975	2574	2.0000
607	975	2574	2.0000
1350	975	7698	1.0000
913	975	7698	2.0000
1396	975	7698	1.0000
1423	975	2766	1.0000
378	975	2766	2.0000
1158	975	1749	2.0000
1547	975	1749	3.0000
426	975	7415	4.0000
1042	975	7415	3.0000
339	975	7415	3.0000
1143	975	4793	4.0000
361	975	4793	2.0000
1149	975	4793	2.0000
1486	975	4793	3.0000
1303	975	4793	3.0000
294	975	4793	2.0000
1182	975	8434	5.0000
1386	975	8434	2.0000
45	975	8434	5.0000
231	975	6900	4.0000
368	975	6900	4.0000
784	975	6900	3.0000
680	975	6900	2.0000
165	975	6900	3.0000
1501	975	913	3.0000
452	975	913	3.0000
895	975	913	3.0000
1124	975	913	3.0000
1168	975	913	3.0000
1451	975	913	3.0000
1540	975	8913	3.0000
1478	975	8913	2.0000
935	975	8913	3.0000
592	975	8913	3.0000
286	975	4749	3.0000
209	975	4749	4.0000
26	975	4749	4.0000
575	975	4749	4.0000
1478	975	7728	2.0000
163	975	7728	3.0000
1405	975	7728	2.0000
795	975	7728	3.0000
652	975	7728	3.0000
1065	975	8776	3.0000
1375	975	8776	3.0000
859	975	8776	3.0000
849	975	8776	3.0000
459	975	8698	3.0000
1208	975	8698	3.0000
519	975	8698	2.0000
1441	975	8698	3.0000
323	975	6334	3.0000
446	975	6334	3.0000
1222	975	6334	2.0000
866	975	6334	2.0000
317	975	5381	4.0000
878	975	5381	3.0000
1482	975	5381	3.0000
500	975	5381	3.0000
329	975	5381	4.0000
13	975	5381	4.0000
962	975	5381	4.0000
564	975	8890	4.0000
526	975	8890	3.0000
1369	975	8890	2.0000
813	975	8890	2.0000
1335	975	8890	3.0000
913	975	8890	2.0000
1036	975	8890	3.0000
254	975	8890	3.0000
1235	975	6886	4.0000
1213	975	6886	2.0000
137	975	6886	2.0000
247	975	6886	3.0000
331	975	6886	4.0000
410	975	9059	3.0000
946	975	9059	2.0000
164	975	9059	2.0000
952	975	9059	3.0000
1289	975	9059	2.0000
1106	975	9059	4.0000
97	975	9059	4.0000
1146	975	1663	4.0000
1123	975	1663	2.0000
48	975	1663	3.0000
1429	975	2107	2.0000
1418	975	2107	3.0000
1036	975	2107	3.0000
184	975	7685	3.0000
867	975	7685	2.0000
211	975	2868	4.0000
1199	975	2868	2.0000
523	975	2868	3.0000
993	975	2868	3.0000
411	975	2868	3.0000
600	975	2868	3.0000
445	975	9438	3.0000
861	975	9438	3.0000
1171	975	9438	4.0000
655	975	9438	3.0000
68	975	8520	3.0000
805	975	8520	4.0000
981	975	8520	2.0000
865	975	8520	3.0000
1214	975	8520	2.0000
1135	975	5333	2.0000
1524	975	5333	3.0000
403	975	5676	3.0000
1018	975	5676	2.0000
1307	975	9848	2.0000
592	975	9848	2.0000
36	975	9848	4.0000
559	975	9848	5.0000
136	975	9848	3.0000
259	975	9848	4.0000
1035	975	9848	4.0000
396	975	9460	4.0000
599	975	9460	3.0000
816	975	9460	3.0000
167	975	9460	4.0000
556	975	9460	3.0000
533	975	9460	3.0000
1015	975	9460	3.0000
1558	975	4718	3.0000
1055	975	4718	4.0000
1058	975	4718	4.0000
569	975	4718	3.0000
891	975	4718	2.0000
1068	975	4718	2.0000
346	975	2273	3.0000
829	975	2273	4.0000
525	975	2273	3.0000
836	975	9606	3.0000
453	975	9606	4.0000
457	975	9606	3.0000
1273	975	9606	3.0000
1529	975	9606	3.0000
477	975	4224	3.0000
1187	975	4224	3.0000
1343	975	5333	3.0000
1293	975	5333	3.0000
1443	975	5333	3.0000
993	975	5333	4.0000
783	975	5333	4.0000
1000	975	5333	3.0000
351	975	5333	4.0000
773	975	9978	3.0000
696	975	9978	3.0000
513	975	9978	3.0000
1062	975	9978	3.0000
973	975	9978	2.0000
97	975	9978	4.0000
1007	975	9426	4.0000
358	975	9426	2.0000
747	975	9426	3.0000
724	975	9426	3.0000
1207	975	9426	3.0000
915	975	8728	3.0000
1437	975	8728	4.0000
1015	975	8728	3.0000
1137	975	8728	3.0000
355	975	8728	3.0000
1144	975	8728	3.0000
1481	975	8728	4.0000
1298	975	8728	3.0000
1324	975	1219	4.0000
1408	975	1219	3.0000
1158	975	1219	3.0000
349	975	1219	2.0000
805	975	1219	3.0000
582	975	1219	4.0000
475	975	8825	2.0000
1544	975	8825	4.0000
309	975	8825	3.0000
486	975	8825	3.0000
369	975	8825	3.0000
719	975	8825	3.0000
1228	975	8825	3.0000
758	975	5494	2.0000
696	975	5494	3.0000
153	975	5494	3.0000
1368	975	5494	2.0000
425	975	5494	3.0000
136	975	5494	3.0000
1417	975	5494	3.0000
1259	975	6971	4.0000
410	975	6971	4.0000
1398	975	6971	3.0000
722	975	6971	3.0000
1192	975	6971	3.0000
1348	975	2113	3.0000
872	975	2113	4.0000
743	975	2113	3.0000
912	975	9993	3.0000
1434	975	9993	3.0000
1012	975	9993	2.0000
1134	975	9993	4.0000
352	975	9993	2.0000
1555	975	9993	2.0000
1478	975	9993	2.0000
1295	975	9993	3.0000
540	975	7428	3.0000
623	975	7428	3.0000
374	975	7428	4.0000
1422	975	9462	3.0000
680	975	9462	2.0000
424	975	7604	4.0000
973	975	7604	3.0000
883	975	7604	3.0000
8	975	7604	3.0000
1486	975	4823	4.0000
877	975	4823	3.0000
438	975	8867	3.0000
548	975	8867	3.0000
631	975	8867	4.0000
381	975	8867	3.0000
1130	975	8867	3.0000
28	975	8867	2.0000
1363	975	8867	3.0000
887	975	8867	4.0000
1167	975	6010	3.0000
1450	975	6010	3.0000
601	975	6010	3.0000
445	975	6010	3.0000
1327	975	6010	3.0000
1383	975	6010	3.0000
1207	975	7061	4.0000
917	975	7061	4.0000
641	975	7061	3.0000
1057	975	7061	4.0000
1164	975	540	3.0000
289	975	540	3.0000
1358	975	540	3.0000
122	975	540	4.0000
299	975	540	5.0000
182	975	540	3.0000
